Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,URL/Filename,Threat/Content Name,Category,Severity,Direction,Sequence Number,Action Flags,Source Country,Destination Country,cpadding,contenttype,pcap_id,filedigest,cloud,url_idx,user_agent,filetype,xff,referer,sender,subject,recipient,reportid,DG Hierarchy Level 1,DG Hierarchy Level 2,DG Hierarchy Level 3,DG Hierarchy Level 4,Virtual System Name,Device Name,file_url,Source VM UUID,Destination VM UUID,http_method,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,Parent Session Start Time,Tunnel,thr_category,contentver,sig_flags,SCTP Association ID,Payload Protocol ID,http_headers,URL Category List,UUID for rule,HTTP/2 Connection,dynusergroup_name,XFF address,Source Device Category,Source Device Profile,Source Device Model,Source Device Vendor,Source Device OS Family,Source Device OS Version,Source Hostname,Source Mac Address,Destination Device Category,Destination Device Profile,Destination Device Model,Destination Device Vendor,Destination Device OS Family,Destination Device OS Version,Destination Hostname,Destination Mac Address,Container ID,POD Namespace,POD Name,Source External Dynamic List,Destination External Dynamic List,Host ID,Serial Number,domain_edl,Source Dynamic Address Group,Destination Dynamic Address Group,partial_hash,Timestamp,,,
1,2021-04-21 15:31:18,12801044041,THREAT,spyware,2560,2021-04-21 15:31:18,172.31.99.248,172.217.174.163,202.129.165.66,172.217.174.163,rule1,,,google-base,vsys1,CR_LAN,Real_Internet,ethernet1/2,ethernet1/1,,2021-04-21 15:31:18,63634,1,54972,443,50228,443,0x80403400,tcp,alert,update.googleapis.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21268597,0x2000000000000000,172.16.0.0-172.31.255.255,United States,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T15:31:19.203+08:00,,,
1,2021-04-21 15:28:52,12801044041,THREAT,spyware,2560,2021-04-21 15:28:52,172.31.99.248,52.114.74.44,202.129.165.66,52.114.74.44,rule1,,,ssl,vsys1,CR_LAN,Real_Internet,ethernet1/2,ethernet1/1,,2021-04-21 15:28:52,62539,1,54959,443,49646,443,0x80403400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21268542,0x2000000000000000,172.16.0.0-172.31.255.255,Netherlands,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T15:28:53.683+08:00,,,
1,2021-04-21 15:28:52,12801044041,THREAT,spyware,2560,2021-04-21 15:28:52,172.31.99.248,52.114.74.44,202.129.165.66,52.114.74.44,rule1,,,ssl,vsys1,CR_LAN,Real_Internet,ethernet1/2,ethernet1/1,,2021-04-21 15:28:52,62223,1,54958,443,24587,443,0x80403400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21268539,0x2000000000000000,172.16.0.0-172.31.255.255,Netherlands,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T15:28:53.176+08:00,,,
1,2021-04-21 14:54:02,12801044041,THREAT,vulnerability,2560,2021-04-21 14:54:02,51.159.91.194,202.129.165.66,,,rule1,,,sip,vsys1,Real_Internet,Real_Internet,ethernet1/1,ethernet1/1,,2021-04-21 14:54:02,40636,1,62659,5060,0,0,0x80002000,udp,alert,,SIP Invalid Sent-by Address Found(37299),any,informational,client-to-server,21267559,0x2000000000000000,France,Malaysia,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,dos,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T14:54:03.289+08:00,,,
1,2021-04-21 14:20:55,12801044041,THREAT,spyware,2560,2021-04-21 14:20:55,172.31.99.248,52.114.132.20,,,rule1,,,ssl,vsys1,AdminNet_To_Core_Router,AdminNet,ethernet1/4,ethernet1/3,,2021-04-21 14:20:55,25095,1,54463,443,0,0,0x80003400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21266681,0x2000000000000000,172.16.0.0-172.31.255.255,United States,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T14:20:56.548+08:00,,,
1,2021-04-21 13:19:56,12801044041,THREAT,spyware,2560,2021-04-21 13:19:56,172.31.99.248,52.114.76.34,202.129.165.66,52.114.76.34,rule1,,,ssl,vsys1,CR_LAN,Real_Internet,ethernet1/2,ethernet1/1,,2021-04-21 13:19:56,64018,1,54088,443,30153,443,0x80403400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21265079,0x2000000000000000,172.16.0.0-172.31.255.255,Ireland,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T13:19:57.430+08:00,,,
1,2021-04-21 13:02:08,12801044041,THREAT,spyware,2560,2021-04-21 13:02:08,172.31.99.248,52.114.32.24,202.129.165.66,52.114.32.24,rule1,,,ssl,vsys1,CR_LAN,Real_Internet,ethernet1/2,ethernet1/1,,2021-04-21 13:02:08,55785,1,53956,443,20581,443,0x80403400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21264619,0x2000000000000000,172.16.0.0-172.31.255.255,Japan,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T13:02:08.862+08:00,,,
1,2021-04-21 13:02:08,12801044041,THREAT,spyware,2560,2021-04-21 13:02:08,172.31.99.248,52.114.32.24,,,rule1,,,ssl,vsys1,AdminNet_To_Core_Router,AdminNet,ethernet1/4,ethernet1/3,,2021-04-21 13:02:08,54339,1,53956,443,0,0,0x80003400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21264618,0x2000000000000000,172.16.0.0-172.31.255.255,Japan,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T13:02:08.779+08:00,,,
1,2021-04-21 12:20:17,12801044041,THREAT,spyware,2560,2021-04-21 12:20:17,172.31.99.248,52.114.75.79,202.129.165.66,52.114.75.79,rule1,,,ssl,vsys1,CR_LAN,Real_Internet,ethernet1/2,ethernet1/1,,2021-04-21 12:20:17,28374,1,53671,443,25729,443,0x80403400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21263447,0x2000000000000000,172.16.0.0-172.31.255.255,Netherlands,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T12:20:18.195+08:00,,,
1,2021-04-21 11:32:08,12801044041,THREAT,spyware,2560,2021-04-21 11:32:08,172.31.99.248,52.114.132.91,202.129.165.66,52.114.132.91,rule1,,,ssl,vsys1,CR_LAN,Real_Internet,ethernet1/2,ethernet1/1,,2021-04-21 11:32:08,5850,1,53345,443,46190,443,0x80403400,tcp,alert,v10.events.data.microsoft.com/,Suspicious TLS Evasion Found(14978),computer-and-internet-info,informational,client-to-server,21262143,0x2000000000000000,172.16.0.0-172.31.255.255,United States,0,,1.21E+18,,,0,,,,,,,,0,0,0,0,0,,CTS-MY-CTS-HCR,,,,,0,,0,,N/A,spyware,AppThreat-8398-6657,0x0,0,4294967295,,,65cf9b30-33a9-4870-9128-05276b07df04,0,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021-04-21T11:32:09.316+08:00,,,
